Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA20,SMA50,Signal
2021-02-16 00:00:00-05:00,94.10129345967414,94.45372946035641,93.4825678972222,94.03863525390625,6945231,0.0,0.0,,,0
2021-02-17 00:00:00-05:00,93.4120470717089,94.42237202062655,93.21624727539505,93.96028900146484,4141219,0.0,0.0,,,0
2021-02-18 00:00:00-05:00,94.37539614599343,94.72000058515286,93.74883296085851,94.55552673339844,5646413,0.0,0.0,,,0
2021-02-19 00:00:00-05:00,94.57119451809787,94.5790260108999,92.71501197033345,93.19276428222656,6881320,0.0,0.0,,,0
2021-02-22 00:00:00-05:00,92.80898123655456,94.86879476692044,92.76199228728495,94.6573257446289,6149643,0.0,0.0,,,0
2021-02-23 00:00:00-05:00,94.70433743789988,95.04111038356311,93.8271539803611,94.53986358642578,4739740,0.0,0.0,,,0
2021-02-24 00:00:00-05:00,94.61037014695295,96.7171733692686,94.39107580600465,96.49787902832031,6087720,0.0,0.0,,,0
2021-02-25 00:00:00-05:00,96.6231672635065,97.39070353286569,95.8164735315039,95.91828918457031,5953623,0.0,0.0,,,0
2021-02-26 00:00:00-05:00,95.7459695904661,95.7459695904661,93.10659449631275,93.145751953125,9467346,0.0,0.0,,,0
2021-03-01 00:00:00-05:00,94.25790752970074,95.80081157755413,93.87414564108425,94.5633544921875,5977367,0.0,0.0,,,0
2021-03-02 00:00:00-05:00,94.5633508410763,95.47186645103926,94.18742045958754,94.24224090576172,4732418,0.0,0.0,,,0
2021-03-03 00:00:00-05:00,94.37540043841403,96.04360850982356,93.96813778715968,95.83214569091797,7744898,0.0,0.0,,,0
2021-03-04 00:00:00-05:00,95.55018590872102,96.50569051789344,93.01262602482701,94.0699462890625,8439651,0.0,0.0,,,0
2021-03-05 00:00:00-05:00,94.48504547545502,96.92078983507541,94.17959849386463,96.20024871826172,7268968,0.0,0.0,,,0
2021-03-08 00:00:00-05:00,96.3255648557203,99.34870888744635,96.23941217603151,97.75098419189453,7572203,0.0,0.0,,,0
2021-03-09 00:00:00-05:00,98.21304225718201,99.01973584139739,97.241874859609,97.25753784179688,5867014,0.0,0.0,,,0
2021-03-10 00:00:00-05:00,97.93894166799888,100.43734410089313,97.5943372376865,100.1475601196289,7581199,0.0,0.0,,,0
2021-03-11 00:00:00-05:00,100.31985641564034,100.7506197274379,99.29386845972766,99.57582092285156,5383657,0.0,0.0,,,0
2021-03-12 00:00:00-05:00,99.61499012559939,99.99875828035186,99.16073853440218,99.94393157958984,4194565,0.0,0.0,,,0
2021-03-15 00:00:00-04:00,100.06924016036315,100.83677015979744,99.88910333644725,100.70362854003906,3577948,0.0,0.0,96.03968620300293,,0
2021-03-16 00:00:00-04:00,100.46867200244613,100.65664032006003,99.73246171675942,100.43733978271484,4867247,0.0,0.0,96.35962142944337,,0
2021-03-17 00:00:00-04:00,100.60964211683473,101.41633580993764,99.84993737663807,101.05606842041016,4488804,0.0,0.0,96.71441040039062,,0
2021-03-18 00:00:00-04:00,100.98557151191407,102.59895878262728,100.08489372727954,101.86275482177734,6104142,0.0,0.0,97.07977180480957,,0
