Date,Chevron,ConocoPhillips,ExxonMobil,Shell,BP,Halliburton,Baker Hughes,Maersk,Hapag-Lloyd
2024-01-02,136.95730590820312,110.56178283691406,94.84711456298828,60.77912139892578,31.719985961914062,34.350189208984375,32.382835388183594,7.988892078399658,69.835205078125
2024-01-03,139.5685577392578,112.76192474365234,95.64400482177734,61.71971130371094,32.16674041748047,34.77814483642578,32.373294830322266,8.306441307067871,73.44598388671875
2024-01-04,138.0384521484375,109.51811981201172,94.81006622314453,61.19408416748047,31.952295303344727,34.026851654052734,31.73385238647461,8.632349014282227,82.99449920654297
2024-01-05,137.80023193359375,109.56514739990234,95.09730529785156,60.613136291503906,32.193546295166016,34.20753860473633,31.896095275878906,8.53207015991211,83.79689025878906
2024-01-08,136.9756317138672,107.65646362304688,93.51280975341797,59.58954620361328,31.657432556152344,33.484779357910156,30.960783004760742,8.122597694396973,75.95659637451172
2024-01-09,133.4939727783203,106.02046966552734,92.35456085205078,58.925594329833984,31.174938201904297,32.81907653808594,30.17817497253418,8.06410026550293,75.65614318847656
2024-01-10,132.39451599121094,104.53489685058594,91.44647216796875,58.16020584106445,31.005168914794922,32.400634765625,29.805957794189453,7.972179412841797,74.97053527832031
2024-01-11,133.10916137695312,104.36565399169922,91.4279556274414,58.28009033203125,30.924745559692383,32.51475143432617,29.748693466186523,8.055745124816895,79.90972900390625
2024-01-12,134.9324493408203,105.02381896972656,92.61399841308594,58.833377838134766,31.14812660217285,32.790550231933594,30.082733154296875,7.99724817276001,78.32276916503906
2024-01-16,131.65237426757812,102.1467056274414,90.51988220214844,56.952186584472656,30.629884719848633,31.868072509765625,29.271493911743164,8.089171409606934,79.15191650390625
2024-01-17,131.13011169433594,101.14065551757812,89.86199951171875,56.288238525390625,30.290353775024414,31.611309051513672,29.386024475097656,8.323155403137207,76.2142562866211
2024-01-18,129.93902587890625,100.53890228271484,89.6952133178711,56.574100494384766,30.40650749206543,31.67787742614746,29.462373733520508,8.247946739196777,75.48764038085938
2024-01-19,130.32383728027344,101.42273712158203,89.83419036865234,56.352787017822266,30.24567413330078,32.3055419921875,29.300125122070312,7.922038555145264,74.79222869873047
2024-01-22,130.55291748046875,101.60137939453125,89.71373748779297,56.41733932495117,30.603084564208984,32.74300003051758,29.567359924316406,7.980536460876465,74.32416534423828
2024-01-23,130.18638610839844,101.53555297851562,90.72374725341797,56.389671325683594,30.603084564208984,33.570369720458984,30.092281341552734,8.080814361572266,74.64067077636719
2024-01-24,132.77931213378906,103.11512756347656,92.28968811035156,56.67554473876953,30.88007354736328,35.02540588378906,28.67022132873535,7.905326843261719,74.64067077636719
2024-01-25,136.12351989746094,105.35289001464844,94.63399505615234,57.62535858154297,31.407245635986328,35.18707275390625,28.918367385864258,7.972179412841797,73.94525909423828
