Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,AnnualDiv,DividendYield,SMA20,SMA50,Signal
2021-02-15 00:00:00+09:00,123512.78764204546,125888.03355823863,123512.78764204546,125412.984375,5384526,0.0,0.0,0.0,,,,,0
2021-02-16 00:00:00+09:00,125888.0,127313.14716981133,123987.8037735849,125888.0,3218689,0.0,0.0,0.0,,,,,0
2021-02-17 00:00:00+09:00,124462.87169471155,124462.87169471155,121612.57692307694,123512.7734375,3621178,0.0,0.0,0.0,,,,,0
2021-02-18 00:00:00+09:00,122087.61256820436,123512.75979662698,119237.31811135913,119712.3671875,3792425,0.0,0.0,0.0,,,,,0
2021-02-19 00:00:00+09:00,122562.66964285714,126363.0625,122087.62053571429,126363.0625,6986526,0.0,0.0,0.0,,,,,0
2021-02-22 00:00:00+09:00,129213.34935897436,132538.69290865384,128263.25120192308,129688.3984375,7961516,0.0,0.0,0.0,,,,,0
2021-02-23 00:00:00+09:00,126838.08793998194,133013.7251805054,124937.89186597473,131588.578125,6400037,0.0,0.0,0.0,,,,,0
2021-02-24 00:00:00+09:00,130638.47512637867,136339.06313189337,127313.13212316176,129213.328125,9074809,0.0,0.0,0.0,,,,,0
2021-02-25 00:00:00+09:00,133963.81218434343,142039.64483375422,133013.71422558924,141089.546875,9936495,0.0,0.0,0.0,,,,,0
2021-02-26 00:00:00+09:00,136339.08695892224,137764.23420936396,131113.54704063604,134438.890625,10843268,0.0,0.0,0.0,,,,,0
2021-03-02 00:00:00+09:00,141564.64543685122,142989.79287413496,133963.85910467128,137289.203125,9376523,0.0,0.0,0.0,,,,,0
2021-03-03 00:00:00+09:00,135388.9955357143,139664.4375,132538.70089285713,139664.4375,5827221,0.0,0.0,0.0,,,,,0
2021-03-04 00:00:00+09:00,135864.03565140846,138239.28102992958,132538.69212147887,134913.9375,6586562,0.0,0.0,0.0,,,,,0
2021-03-05 00:00:00+09:00,131113.53816964285,134438.88152901785,129688.391015625,133013.734375,6091444,0.0,0.0,0.0,,,,,0
2021-03-08 00:00:00+09:00,135864.04110931733,135864.04110931733,128738.3046875,128738.3046875,5587787,0.0,0.0,0.0,,,,,0
2021-03-09 00:00:00+09:00,127313.1530448718,130638.49659455128,123987.80949519231,129688.3984375,7822152,0.0,0.0,0.0,,,,,0
2021-03-10 00:00:00+09:00,133488.79910714287,133488.79910714287,125888.01339285714,126363.0625,5614476,0.0,0.0,0.0,,,,,0
2021-03-11 00:00:00+09:00,127788.21529995438,132063.6574475365,127313.16617244526,130163.4609375,6707671,0.0,0.0,0.0,,,,,0
2021-03-12 00:00:00+09:00,133488.78342633927,135388.97963169642,132538.68532366073,133013.734375,4548695,0.0,0.0,0.0,,,,,0
2021-03-15 00:00:00+09:00,134438.8892227564,134913.93830128206,129213.34935897436,129688.3984375,4289990,0.0,0.0,0.0,,,130472.230078125,,0
2021-03-16 00:00:00+09:00,131588.61588078292,133488.8125,131113.56672597866,133488.8125,3304561,0.0,0.0,0.0,,,130876.021484375,,0
2021-03-17 00:00:00+09:00,133963.83247767857,133963.83247767857,131588.58722098215,133013.734375,2588319,0.0,0.0,0.0,,,131232.308203125,,0
2021-03-18 00:00:00+09:00,135388.9865757042,137764.23195422534,133963.83934859154,134913.9375,4426840,0.0,0.0,0.0,,,131802.36640625,,0
2021-03-19 00:00:00+09:00,131113.5625,132538.70991847827,130163.4642210145,131113.5625,4015627,0.0,0.0,0.0,,,132372.426171875,,0
2021-03-22 00:00:00+09:00,131588.61163949277,133013.759057971,130163.4642210145,131113.5625,2727719,0.0,0.0,0.0,,,132609.951171875,,0
2021-03-23 00:00:00+09:00,132063.6828125,132538.73203125,127313.190625,128263.2890625,3839090,0.0,0.0,0.0,,,132538.695703125,,0
2021-03-24 00:00:00+09:00,126363.06027621722,127788.20757256554,124937.91297986891,126838.109375,3894080,0.0,0.0,0.0,,,132301.172265625,,0
2021-03-25 00:00:00+09:00,126363.0625,127788.20982142857,123987.81696428571,126363.0625,4157799,0.0,0.0,0.0,,,132158.658984375,,0
2021-03-26 00:00:00+09:00,127313.190625,128263.2890625,125412.99375,128263.2890625,3835443,0.0,0.0,0.0,,,131517.34609375,,0
2021-03-29 00:00:00+09:00,128738.32865767046,128738.32865767046,124937.93519176137,125412.984375,3575226,0.0,0.0,0.0,,,131066.05078125,,0
2021-03-30 00:00:00+09:00,126363.07132899629,128738.31703066915,125412.97304832714,127788.21875,3304184,0.0,0.0,0.0,,,130591.0015625,,0
2021-03-31 00:00:00+09:00,127788.19622641511,128263.24528301887,125412.95094339624,125888.0,3309680,0.0,0.0,0.0,,,129902.1796875,,0
2021-04-01 00:00:00+09:00,131113.56672597866,133488.8125,129688.41926156584,133488.8125,5833436,0.0,0.0,0.0,,,129830.9234375,,0
2021-04-02 00:00:00+09:00,134913.94193262412,135864.04011524824,133013.74556737588,133963.84375,3432245,0.0,0.0,0.0,,,129878.42890625,,0
2021-04-05 00:00:00+09:00,134913.93312937062,137289.17843094404,133963.83500874127,135864.03125,2616440,0.0,0.0,0.0,,,130234.715234375,,0
2021-04-06 00:00:00+09:00,139664.4237325175,139664.4237325175,134438.88406905593,135864.03125,3753217,0.0,0.0,0.0,,,130543.496875,,0
2021-04-07 00:00:00+09:00,138714.32338850174,138714.32338850174,135388.9800195993,136339.078125,2424687,0.0,0.0,0.0,,,131042.29765625,,0
2021-04-08 00:00:00+09:00,136339.0603841146,138714.3053385417,135388.96240234375,136814.109375,3774932,0.0,0.0,0.0,,,131374.830078125,,0
2021-04-09 00:00:00+09:00,136814.1267857143,137764.22488839287,132538.68532366073,133013.734375,3276077,0.0,0.0,0.0,,,131374.830078125,,0
2021-04-12 00:00:00+09:00,133488.7865625,133488.7865625,129213.345,130638.4921875,3878457,0.0,0.0,0.0,,,131422.334765625,,0
2021-04-13 00:00:00+09:00,129213.37455197133,133013.76792114694,128738.32538082436,132538.71875,2876178,0.0,0.0,0.0,,,131374.830078125,,0
2021-04-14 00:00:00+09:00,132063.6574475365,132063.6574475365,129688.41180999088,130163.4609375,2777203,0.0,0.0,0.0,,,131232.31640625,,0
2021-04-15 00:00:00+09:00,129213.345,132063.639375,129213.345,130638.4921875,2291160,0.0,0.0,0.0,,,131018.544140625,,0
2021-04-16 00:00:00+09:00,131588.5903125,132063.639375,130638.4921875,130638.4921875,1982877,0.0,0.0,0.0,,,130994.790625,,0
2021-04-19 00:00:00+09:00,131113.5625,132063.6607789855,130163.4642210145,131113.5625,1906782,0.0,0.0,0.0,,,130994.790625,,0
2021-04-20 00:00:00+09:00,129688.38205099278,131588.578125,129688.38205099278,131588.578125,2167732,0.0,0.0,0.0,,,131161.055078125,,0
2021-04-21 00:00:00+09:00,131113.53962264152,131113.53962264152,125412.95094339624,125888.0,5120577,0.0,0.0,0.0,,,131113.549609375,,0
2021-04-22 00:00:00+09:00,127788.20982142857,128738.30803571429,126363.0625,126363.0625,3007457,0.0,0.0,0.0,,,131113.549609375,,0
2021-04-23 00:00:00+09:00,123987.8037735849,125888.0,122087.60754716981,125888.0,4854412,0.0,0.0,0.0,,,130994.78515625,,0
2021-04-26 00:00:00+09:00,125888.02014020912,125888.02014020912,123987.82360979087,124937.921875,2904879,0.0,0.0,0.0,,,130971.03203125,130552.99171875,0
2021-04-27 00:00:00+09:00,126363.0921875,129213.3875,125888.04296875,128263.2890625,3394650,0.0,0.0,0.0,,,130994.785546875,130609.9978125,0
2021-04-28 00:00:00+09:00,127788.21559495194,128263.2647235577,123512.7734375,123512.7734375,5596760,0.0,0.0,0.0,,,130876.02421875,130562.49328125,0
2021-04-29 00:00:00+09:00,125412.96995192308,126363.06820913462,122562.67518028847,123512.7734375,3738266,0.0,0.0,0.0,,,130377.222265625,130562.49328125,0
2021-04-30 00:00:00+09:00,123512.76672363281,123987.81582641602,120187.42300415039,121612.5703125,3955947,0.0,0.0,0.0,,,129759.65859375,130600.49734375,0
2021-05-03 00:00:00+09:00,121137.5288141635,125888.02014020912,120662.47968155894,124937.921875,4085398,0.0,0.0,0.0,,,129213.353125,130571.99453125,0
2021-05-04 00:00:00+09:00,123987.83682528409,125412.984375,122562.68927556819,125412.984375,2547004,0.0,0.0,0.0,,,128690.80078125,130486.48625,0
2021-05-06 00:00:00+09:00,123512.77010658915,123987.81922238372,121612.57364341085,122562.671875,4211535,0.0,0.0,0.0,,,128001.98046875,130305.968125,0
2021-05-07 00:00:00+09:00,121612.57142857143,124462.86607142857,120662.47321428571,123037.71875,3450323,0.0,0.0,0.0,,,127313.1609375,130182.4559375,0
2021-05-10 00:00:00+09:00,124462.87169471155,124462.87169471155,122087.6260516827,123512.7734375,3067077,0.0,0.0,0.0,,,126838.112890625,129830.92046875,0
2021-05-11 00:00:00+09:00,120662.4628429878,121137.51190929877,115911.97217987805,116862.0703125,9882491,0.0,0.0,0.0,,,126149.291796875,129479.3840625,0
2021-05-12 00:00:00+09:00,116862.06197698745,117337.11100941424,113061.66971757323,113536.71875,8272196,0.0,0.0,0.0,,,125199.191796875,129004.334375,0
2021-05-13 00:00:00+09:00,110211.3994680851,112586.6451462766,109736.3503324468,111636.546875,6042025,0.0,0.0,0.0,,,124272.84609375,128443.7765625,0
2021-05-14 00:00:00+09:00,112586.6328125,114011.78006329114,112111.58372890294,112586.6328125,3227201,0.0,0.0,0.0,,,123370.253125,127997.23046875,0
2021-05-17 00:00:00+09:00,114011.7925531915,114011.7925531915,111161.4977393617,111636.546875,3110127,0.0,0.0,0.0,,,122420.155859375,127569.68671875,0
2021-05-18 00:00:00+09:00,111636.53150826445,115911.97314049586,111636.53150826445,114961.875,3470048,0.0,0.0,0.0,,,121612.571484375,127294.158125,0
2021-05-20 00:00:00+09:00,114961.88392857143,117812.17857142857,113536.73660714286,116387.03125,4600751,0.0,0.0,0.0,,,120852.494140625,127028.13078125,0
2021-05-21 00:00:00+09:00,118287.22767857143,119237.32589285714,114961.88392857143,116387.03125,4062695,0.0,0.0,0.0,,,120377.445703125,126828.61015625,0
2021-05-24 00:00:00+09:00,115911.9639121339,116387.01294456067,113061.66971757323,113536.71875,3188734,0.0,0.0,0.0,,,119736.128515625,126496.0753125,0
