Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,AnnualDiv,DividendYield,SMA20,SMA50,Signal
2021-02-16 00:00:00-05:00,37.36494474570513,37.42971283509675,36.30094382078985,36.74967575073242,6170952,0.0,0.0,,,,,0
2021-02-17 00:00:00-05:00,36.47210711079698,36.99485467523325,36.365707379738836,36.66640090942383,3593819,0.0,0.0,,,,,0
2021-02-18 00:00:00-05:00,36.416597816462094,37.25392086643601,36.1621631933852,36.86532974243164,3027174,0.0,0.0,,,,,0
2021-02-19 00:00:00-05:00,37.314054420187745,37.61937872248572,37.02723578165286,37.36494064331055,3269853,0.0,0.0,,,,,0
2021-02-22 00:00:00-05:00,37.31868170657366,37.92469954300312,36.79593413440729,37.36494064331055,5745968,0.0,0.0,,,,,0
2021-02-23 00:00:00-05:00,37.0087298902325,37.4158265979722,35.63478111294618,37.267791748046875,5043975,0.0,0.0,,,,,0
2021-02-24 00:00:00-05:00,37.37419854066568,37.896946159332536,37.198406905510886,37.79054641723633,3969676,0.0,0.0,,,,,0
2021-02-25 00:00:00-05:00,37.47135157797277,37.74891570092255,36.5322524910077,36.8607063293457,5594047,0.0,0.0,,,,,0
2021-02-26 00:00:00-05:00,37.32330772653021,38.484457136866986,37.00873234391493,37.50372314453125,6943776,0.0,0.0,,,,,0
2021-03-01 00:00:00-05:00,37.50834627409115,38.6001036789082,37.50834627409115,38.43819046020508,4621753,0.0,0.0,,,,,0
2021-03-02 00:00:00-05:00,38.39656571444027,38.660251435943586,37.998720006920756,38.26240921020508,2937205,0.0,0.0,,,,,0
2021-03-03 00:00:00-05:00,38.43356565596125,38.93781100571173,38.18375836498361,38.67412185668945,5848564,0.0,0.0,,,,,0
2021-03-04 00:00:00-05:00,38.59085763599121,39.0442133149357,37.67489170545974,38.304039001464844,5422791,0.0,0.0,,,,,0
2021-03-05 00:00:00-05:00,38.799031337530714,39.64098161071072,38.56772620264234,39.48369216918945,6930557,0.0,0.0,,,,,0
2021-03-08 00:00:00-05:00,39.74738579349579,40.10359288602085,39.294026564217006,39.37267303466797,6884981,0.0,0.0,,,,,0
2021-03-09 00:00:00-05:00,39.82602372436409,40.64484103444111,39.78438859180621,40.01106643676758,4318897,0.0,0.0,,,,,0
2021-03-10 00:00:00-05:00,40.21461327097058,40.7604937779422,40.13134300904809,40.56156921386719,4408866,0.0,0.0,,,,,0
2021-03-11 00:00:00-05:00,40.70961424752431,41.3896478681048,40.70961424752431,40.996429443359375,7447286,0.0,0.0,,,,,0
2021-03-12 00:00:00-05:00,40.95016699711385,41.098201869383715,40.552321319386905,41.08894729614258,2858088,0.0,0.0,,,,,0
2021-03-15 00:00:00-04:00,41.0519427211025,41.32025573086974,40.81138646970988,41.311004638671875,5621472,0.0,0.0,,,38.54690990447998,,0
2021-03-16 00:00:00-04:00,41.403525823390375,41.53768232768232,40.829891955813345,41.209228515625,5880329,0.0,0.0,,,38.76988754272461,,0
2021-03-17 00:00:00-04:00,41.070448359205194,42.333370419043696,40.769751304279445,42.22697067260742,6162468,0.0,0.0,,,39.04791603088379,,0
2021-03-18 00:00:00-04:00,41.84762840663936,41.84762840663936,40.73274128999381,40.760498046875,6201731,0.0,0.0,,,39.24267444610596,,0
2021-03-19 00:00:00-04:00,40.58007583629107,41.06118827417458,40.50143285876556,40.5384407043457,7791772,0.0,0.0,,,39.40134944915771,,0
2021-03-22 00:00:00-04:00,40.44592814171091,40.83914659659752,40.21462296343753,40.40892028808594,6212385,0.0,0.0,,,39.553548431396486,,0
2021-03-23 00:00:00-04:00,40.28400827663803,40.686477758661574,39.23388579408536,39.668739318847656,5250745,0.0,0.0,,,39.67359580993652,,0
2021-03-24 00:00:00-04:00,39.93705704344124,40.43204794399244,39.7103756809468,39.94630813598633,5446269,0.0,0.0,,,39.78138389587402,,0
2021-03-25 00:00:00-04:00,39.395795008274575,40.20073388985887,39.27551690465096,39.779762268066406,3417039,0.0,0.0,,,39.92733669281006,,0
2021-03-26 00:00:00-04:00,40.09433944439806,41.172218714636934,39.88153996240017,41.16759490966797,5169063,0.0,0.0,,,40.11053028106689,,0
2021-03-29 00:00:00-04:00,41.0195660412382,41.46367425497636,40.60321807264033,40.806766510009766,4094567,0.0,0.0,,,40.22895908355713,,0
2021-03-30 00:00:00-04:00,40.561572610667625,41.19534723711213,40.5291920495064,40.982547760009766,4601036,0.0,0.0,,,40.364966011047365,,0
2021-03-31 00:00:00-04:00,41.0103083065834,41.17222157269628,40.6818544872866,40.77900314331055,3239271,0.0,0.0,,,40.47021007537842,,0
2021-04-01 00:00:00-04:00,40.8391430479704,41.32488283560282,40.75124548624478,41.209228515625,3805720,0.0,0.0,,,40.61546955108643,,0
2021-04-05 00:00:00-04:00,41.283258289322134,41.551571366740944,41.14910175061273,41.33877182006836,5019707,0.0,0.0,,,40.708223533630374,,0
2021-04-06 00:00:00-04:00,41.371146524262485,41.62095737719053,41.17222538848888,41.39427947998047,4943154,0.0,0.0,,,40.809303855896,,0
2021-04-07 00:00:00-04:00,41.45903555253261,42.749714248010726,41.45903555253261,42.33336639404297,5613974,0.0,0.0,,,40.925418853759766,,0
2021-04-08 00:00:00-04:00,42.69882848962787,42.9671414766323,41.907764424843776,42.8283576965332,6963309,0.0,0.0,,,41.038758277893066,,0
2021-04-09 00:00:00-04:00,42.698825323211736,43.489885847552436,42.62480615205435,43.42974853515625,4034193,0.0,0.0,,,41.16042423248291,,0
2021-04-12 00:00:00-04:00,42.90700116176431,43.503767941138115,42.814479801248666,43.230831146240234,4027090,0.0,0.0,,,41.26751842498779,,0
2021-04-13 00:00:00-04:00,43.33723174846137,43.33723174846137,42.7358411039193,42.805233001708984,3293332,0.0,0.0,,,41.34222984313965,,0
2021-04-14 00:00:00-04:00,42.86999460725476,43.25858572585614,42.81448109291444,42.883872985839844,5620682,0.0,0.0,,,41.42596206665039,,0
2021-04-15 00:00:00-04:00,45.36346104431624,46.82993153877887,44.100538955245966,45.76130676269531,26547702,0.0,0.0,,,41.60267887115479,,0
