Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA20,SMA50,Signal
2021-02-16 00:00:00-05:00,130.21834936964518,130.76088414065794,128.2045191189124,128.78384399414062,11833600,0.0,0.0,,,0
2021-02-17 00:00:00-05:00,128.01140414172804,128.4068065089627,125.15158425944742,125.30790710449219,12311200,0.0,0.0,,,0
2021-02-18 00:00:00-05:00,124.0021462999605,124.94928796505695,122.6687787234326,123.79984283447266,11614600,0.0,0.0,,,0
2021-02-19 00:00:00-05:00,125.1975670554178,126.85277096929931,124.80216463696163,125.66654968261719,10771900,0.0,0.0,,,0
2021-02-22 00:00:00-05:00,122.84348477753666,124.39753668917673,122.46646344356135,122.82510375976562,10363800,0.0,0.0,,,0
2021-02-23 00:00:00-05:00,118.71467590332031,121.14230299170156,115.29391971340407,118.71467590332031,18444700,0.0,0.0,,,0
2021-02-24 00:00:00-05:00,119.09168807799438,121.73082324109846,117.40890599249944,121.65725708007812,12782900,0.0,0.0,,,0
2021-02-25 00:00:00-05:00,120.94000468444032,120.95838570123306,115.60657727064395,115.86405181884766,13581200,0.0,0.0,,,0
2021-02-26 00:00:00-05:00,115.33991574603989,117.14224476394122,112.94907141680979,115.80889129638672,17281000,0.0,0.0,,,0
2021-03-01 00:00:00-05:00,119.20204942586955,119.81815026550201,117.00430411937447,118.74227142333984,9714900,0.0,0.0,,,0
2021-03-02 00:00:00-05:00,118.0985660831821,118.18133678399157,115.86405181884766,115.86405181884766,8274500,0.0,0.0,,,0
2021-03-03 00:00:00-05:00,116.52615115083354,117.48249034521753,112.8387291926556,113.0042495727539,10660300,0.0,0.0,,,0
2021-03-04 00:00:00-05:00,112.13984199010666,113.24331330696695,104.36039972434048,106.29146575927734,24454200,0.0,0.0,,,0
2021-03-05 00:00:00-05:00,111.17432877538967,111.54215260158871,106.09837540828597,111.0823745727539,17448700,0.0,0.0,,,0
2021-03-08 00:00:00-05:00,110.84328840040752,111.26628334645748,104.55352129697906,104.76502227783203,17246900,0.0,0.0,,,0
2021-03-09 00:00:00-05:00,107.6524326624157,108.87544396276368,106.05240700810218,107.01793670654297,17717100,0.0,0.0,,,0
2021-03-10 00:00:00-05:00,108.32370376831803,108.53519772767703,104.28685333446501,104.67306518554688,15240300,0.0,0.0,,,0
2021-03-11 00:00:00-05:00,108.72830867712194,111.08237700698879,107.65242974982934,110.88007354736328,15091600,0.0,0.0,,,0
2021-03-12 00:00:00-05:00,109.42717185252658,109.42717185252658,107.84553429652291,108.78348541259766,8171000,0.0,0.0,,,0
2021-03-15 00:00:00-04:00,109.10532305309466,109.52831797993898,107.32138213129657,109.500732421875,8935000,0.0,0.0,115.45164260864257,,0
2021-03-16 00:00:00-04:00,110.08926938653114,111.49618925002635,108.59958581689426,109.74903106689453,10793400,0.0,0.0,114.49990196228028,,0
2021-03-17 00:00:00-04:00,108.68568234544902,110.31942580957494,106.50735303188864,109.61793518066406,9890400,0.448,0.0,113.71540336608886,,0
