Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,SMA20,SMA50,Signal
2021-02-15 00:00:00+09:00,123512.7568655303,125888.00218986743,123512.7568655303,125412.953125,5384526,0.0,0.0,0.0,,,0
2021-02-16 00:00:00+09:00,125888.0,127313.14716981133,123987.8037735849,125888.0,3218689,0.0,0.0,0.0,,,0
2021-02-17 00:00:00+09:00,124462.86382211538,124462.86382211538,121612.56923076922,123512.765625,3621178,0.0,0.0,0.0,,,0
2021-02-18 00:00:00+09:00,122087.60460069445,123512.75173611111,119237.31032986111,119712.359375,3792425,0.0,0.0,0.0,,,0
2021-02-19 00:00:00+09:00,122562.66964285714,126363.0625,122087.62053571429,126363.0625,6986526,0.0,0.0,0.0,,,0
2021-02-22 00:00:00+09:00,129213.35714285714,132538.70089285713,128263.25892857143,129688.40625,7961516,0.0,0.0,0.0,,,0
2021-02-23 00:00:00+09:00,126838.11806182312,133013.75676895308,124937.92153655236,131588.609375,6400037,0.0,0.0,0.0,,,0
2021-02-24 00:00:00+09:00,130638.49092371324,136339.07961856617,127313.14751838235,129213.34375,9074809,0.0,0.0,0.0,,,0
2021-02-25 00:00:00+09:00,133963.8566919192,142039.6920244108,133013.75841750842,141089.59375,9936495,0.0,0.0,0.0,,,0
2021-02-26 00:00:00+09:00,136339.0711130742,137764.21819787985,131113.53180212012,134438.875,10843268,0.0,0.0,0.0,,,0
2021-03-02 00:00:00+09:00,141564.6293252595,142989.77660034603,133963.8438581315,137289.1875,9376523,0.0,0.0,0.0,,,0
2021-03-03 00:00:00+09:00,135388.9955357143,139664.4375,132538.70089285713,139664.4375,5827221,0.0,0.0,0.0,,,0
2021-03-04 00:00:00+09:00,135864.03565140846,138239.28102992958,132538.69212147887,134913.9375,6586562,0.0,0.0,0.0,,,0
2021-03-05 00:00:00+09:00,131113.584375,134438.92890625,129688.43671875,133013.78125,6091444,0.0,0.0,0.0,,,0
2021-03-08 00:00:00+09:00,135864.04935424353,135864.04935424353,128738.31249999999,128738.3125,5587787,0.0,0.0,0.0,,,0
2021-03-09 00:00:00+09:00,127313.16071428571,130638.50446428571,123987.81696428571,129688.40625,7822152,0.0,0.0,0.0,,,0
2021-03-10 00:00:00+09:00,133488.79910714287,133488.79910714287,125888.01339285714,126363.0625,5614476,0.0,0.0,0.0,,,0
2021-03-11 00:00:00+09:00,127788.23063982665,132063.67330063868,127313.18145529197,130163.4765625,6707671,0.0,0.0,0.0,,,0
2021-03-12 00:00:00+09:00,133488.83046875,135389.02734375,132538.73203125,133013.78125,4548695,0.0,0.0,0.0,,,0
2021-03-15 00:00:00+09:00,134438.89732142858,134913.94642857142,129213.35714285714,129688.40625,4289990,0.0,0.0,0.0,130472.237890625,,0
2021-03-16 00:00:00+09:00,131588.61588078292,133488.8125,131113.56672597866,133488.8125,3304561,0.0,0.0,0.0,130876.030859375,,0
2021-03-17 00:00:00+09:00,133963.8796875,133963.8796875,131588.63359375,133013.78125,2588319,0.0,0.0,0.0,131232.319921875,,0
2021-03-18 00:00:00+09:00,135388.9865757042,137764.23195422534,133963.83934859154,134913.9375,4426840,0.0,0.0,0.0,131802.378515625,,0
2021-03-19 00:00:00+09:00,131113.546875,132538.6941236413,130163.44870923914,131113.546875,4015627,0.0,0.0,0.0,132372.437890625,,0
2021-03-22 00:00:00+09:00,131588.59595788043,133013.74320652173,130163.44870923914,131113.546875,2727719,0.0,0.0,0.0,132609.962109375,,0
2021-03-23 00:00:00+09:00,132063.6747685185,132538.72395833334,127313.18287037036,128263.28125,3839090,0.0,0.0,0.0,132538.705859375,,0
2021-03-24 00:00:00+09:00,126363.04470973782,127788.19183052435,124937.89758895131,126838.09375,3894080,0.0,0.0,0.0,132301.180078125,,0
2021-03-25 00:00:00+09:00,126363.0625,127788.20982142857,123987.81696428571,126363.0625,4157799,0.0,0.0,0.0,132158.666015625,,0
2021-03-26 00:00:00+09:00,127313.18287037036,128263.28125,125412.98611111111,128263.28125,3835443,0.0,0.0,0.0,131517.350390625,,0
2021-03-29 00:00:00+09:00,128738.29657907198,128738.29657907198,124937.90406013258,125412.953125,3575226,0.0,0.0,0.0,131066.054296875,,0
2021-03-30 00:00:00+09:00,126363.04042750929,128738.28554832713,125412.94237918215,127788.1875,3304184,0.0,0.0,0.0,130591.004296875,,0
2021-03-31 00:00:00+09:00,127788.19622641511,128263.24528301887,125412.95094339624,125888.0,3309680,0.0,0.0,0.0,129902.182421875,,0
2021-04-01 00:00:00+09:00,131113.56672597866,133488.8125,129688.41926156584,133488.8125,5833436,0.0,0.0,0.0,129830.926171875,,0
2021-04-02 00:00:00+09:00,134913.92619680852,135864.02426861704,133013.7300531915,133963.828125,3432245,0.0,0.0,0.0,129878.428515625,,0
2021-04-05 00:00:00+09:00,134913.91761363635,137289.16264204544,133963.81960227274,135864.015625,2616440,0.0,0.0,0.0,130234.713671875,,0
2021-04-06 00:00:00+09:00,139664.40767045456,139664.40767045456,134438.86860795456,135864.015625,3753217,0.0,0.0,0.0,130543.494140625,,0
2021-04-07 00:00:00+09:00,138714.3392857143,138714.3392857143,135388.9955357143,136339.09375,2424687,0.0,0.0,0.0,131042.295703125,,0
2021-04-08 00:00:00+09:00,136339.07595486112,138714.32118055556,135388.97786458334,136814.125,3774932,0.0,0.0,0.0,131374.828125,,0
2021-04-09 00:00:00+09:00,136814.175,137764.2734375,132538.73203125,133013.78125,3276077,0.0,0.0,0.0,131374.828125,,0
2021-04-12 00:00:00+09:00,133488.80252840908,133488.80252840908,129213.36045454546,130638.5078125,3878457,0.0,0.0,0.0,131422.333203125,,0
2021-04-13 00:00:00+09:00,129213.3440860215,133013.7365591398,128738.29502688172,132538.6875,2876178,0.0,0.0,0.0,131374.826953125,,0
2021-04-14 00:00:00+09:00,132063.67330063868,132063.67330063868,129688.42737796533,130163.4765625,2777203,0.0,0.0,0.0,131232.31171875,,0
2021-04-15 00:00:00+09:00,129213.36045454546,132063.65517045456,129213.36045454546,130638.5078125,2291160,0.0,0.0,0.0,131018.540234375,,0
2021-04-16 00:00:00+09:00,131588.60605113636,132063.65517045456,130638.5078125,130638.5078125,1982877,0.0,0.0,0.0,130994.78828125,,0
2021-04-19 00:00:00+09:00,131113.546875,132063.64504076086,130163.44870923914,131113.546875,1906782,0.0,0.0,0.0,130994.78828125,,0
2021-04-20 00:00:00+09:00,129688.41284972925,131588.609375,129688.41284972925,131588.609375,2167732,0.0,0.0,0.0,131161.0546875,,0
