Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA20,SMA50
2024-02-14 00:00:00-05:00,167.7183217937811,168.70506800664546,167.09560836422625,168.63800048828125,7056700,0.0,0.0,,
2024-02-15 00:00:00-05:00,168.7529840509546,172.64250606036836,168.7529840509546,172.3167724609375,8723400,0.0,0.0,,
2024-02-16 00:00:00-05:00,172.06766984324273,172.42212782137025,170.67856235860376,171.51202392578125,8152600,0.0,0.0,,
2024-02-20 00:00:00-05:00,171.66531498276106,172.8819882373571,170.91807052542617,172.18263244628906,9668000,0.0,0.0,,
2024-02-21 00:00:00-05:00,172.3934085731368,173.38974433887643,171.02346516778374,173.3035125732422,7024000,0.0,0.0,,
2024-02-22 00:00:00-05:00,174.18489140759863,175.71769429130376,173.62924542867003,175.3824005126953,9296500,0.0,0.0,,
2024-02-23 00:00:00-05:00,176.09129927335195,177.4229286828694,175.49733949325957,176.2637481689453,7105800,0.0,0.0,,
2024-02-26 00:00:00-05:00,176.03383954354783,176.71403115140492,174.81716619215732,175.66021728515625,7145400,0.0,0.0,,
2024-02-27 00:00:00-05:00,175.61229376413942,175.83263132241242,174.5872336832812,175.7464141845703,5717100,0.0,0.0,,
2024-02-28 00:00:00-05:00,175.72725632977884,177.4229331924025,175.27700638757528,176.6373748779297,6131600,0.0,0.0,,
2024-02-29 00:00:00-05:00,177.86361389401372,178.6012688866292,176.1296232629636,178.24681091308594,9643000,0.0,0.0,,
2024-03-01 00:00:00-05:00,177.90197233572655,178.61090307851944,177.32717666305896,177.50918579101562,6311800,0.0,0.0,,
2024-03-04 00:00:00-05:00,176.95352892532506,179.71257991723328,176.53200338846983,178.84078979492188,7063600,0.0,0.0,,
2024-03-05 00:00:00-05:00,178.5342250453487,181.35076859433357,178.5342250453487,180.63226318359375,6617800,0.0,0.0,,
2024-03-06 00:00:00-05:00,181.30289557925835,182.08846864280952,179.7509283107228,181.57113647460938,7572900,0.0,0.0,,
2024-03-07 00:00:00-05:00,181.9351627034638,182.5003834799299,178.79290005235944,179.98081970214844,7618300,0.0,0.0,,
2024-03-08 00:00:00-05:00,180.526863809802,182.4620422828715,180.02869601496627,180.31610107421875,6172200,0.0,0.0,,
2024-03-11 00:00:00-04:00,179.41562700459264,180.52691911117924,178.40014148644846,180.38320922851562,5762600,0.0,0.0,,
2024-03-12 00:00:00-04:00,181.0154619245126,182.17465709667462,180.0191408441831,181.8680877685547,5708400,0.0,0.0,,
2024-03-13 00:00:00-04:00,182.36624291386704,183.67870804063088,181.86807509939027,183.34341430664062,7795500,0.0,0.0,177.01674575805663,
2024-03-14 00:00:00-04:00,183.00811407017264,183.58292423683054,179.24315279445563,180.0766143798828,10310900,0.0,0.0,177.58867645263672,
2024-03-15 00:00:00-04:00,178.64916730660943,182.92188558132673,178.64916730660943,182.3087615966797,17214200,0.0,0.0,178.08827590942383,
2024-03-18 00:00:00-04:00,182.62494837009942,184.60801601104086,181.91601765866312,184.5697021484375,9013800,0.0,0.0,178.74115982055665,
2024-03-19 00:00:00-04:00,184.61760186984023,185.7863573820429,184.30145769185557,185.65223693847656,8478700,0.0,0.0,179.414640045166,
2024-03-20 00:00:00-04:00,186.03545138429956,188.30592414737396,185.4798053619121,188.08558654785156,9367000,0.0,0.0,180.15374374389648,
2024-03-21 00:00:00-04:00,188.26759566341468,191.05538575190852,188.08557194045494,190.700927734375,11203800,0.0,0.0,180.91967010498047,
2024-03-22 00:00:00-04:00,190.6530403366258,192.0613123318093,188.28676097699267,188.3634033203125,8108800,0.0,0.0,181.52465286254883,
2024-03-25 00:00:00-04:00,188.34424416251454,188.66996314160914,186.1983025123005,186.6389923095703,8620000,0.0,0.0,182.07359161376954,
2024-03-26 00:00:00-04:00,186.41862975146782,188.40171180202861,185.9108870716493,187.51075744628906,5961500,0.0,0.0,182.66180877685548,
2024-03-27 00:00:00-04:00,188.24840068361698,191.21822862812726,188.13344450600687,191.14158630371094,8725800,0.0,0.0,183.38701934814452,
