Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,AnnualDiv,DividendYield,SMA20,SMA50,Signal
2021-02-16 00:00:00-05:00,126.4139709332483,127.97268402202424,125.40124212212254,127.38265228271484,12130600,0.0,0.0,,,,,0
2021-02-17 00:00:00-05:00,126.76620953599743,128.02551269205833,126.0352877696804,127.77893829345703,10810100,0.0,0.0,,,,,0
2021-02-18 00:00:00-05:00,126.81022568419304,128.38654132716314,126.28184436892423,128.21041870117188,10587800,0.0,0.0,,,,,0
2021-02-19 00:00:00-05:00,128.44821535303137,131.0724792455333,128.44821535303137,130.35037231445312,11969800,0.0,0.0,,,,,0
2021-02-22 00:00:00-05:00,129.33761813445776,132.26130475377565,129.26716639741812,131.5744171142578,11488400,0.0,0.0,,,,,0
2021-02-23 00:00:00-05:00,133.42379981663854,134.12830414572832,131.73299748920454,132.63124084472656,16234400,0.0,0.0,,,,,0
2021-02-24 00:00:00-05:00,132.19084511836638,135.40512648463982,132.19084511836638,134.96481323242188,15061400,0.0,0.0,,,,,0
2021-02-25 00:00:00-05:00,135.85429511590357,136.40908084178506,132.6135816257489,133.13314819335938,18127700,0.0,0.0,,,,,0
2021-02-26 00:00:00-05:00,132.3581564351311,132.86010651783965,129.02057470729503,129.60179138183594,19829200,0.0,0.0,,,,,0
2021-03-01 00:00:00-05:00,131.6713066217273,133.30927280473998,130.7554473380552,132.53431701660156,14845500,0.0,0.0,,,,,0
2021-03-02 00:00:00-05:00,132.16441824527806,133.66148051168247,131.9530630614248,132.10276794433594,14221700,0.0,0.0,,,,,0
2021-03-03 00:00:00-05:00,133.1771414490163,136.47949081450574,132.81609479739953,134.65660095214844,14324100,0.0,0.0,,,,,0
2021-03-04 00:00:00-05:00,134.39243021895854,135.9511431127571,130.8787251362725,132.58714294433594,20093900,0.0,0.0,,,,,0
2021-03-05 00:00:00-05:00,134.92960039502665,135.1673733247868,130.3063110305166,132.89535522460938,18465100,0.0,0.0,,,,,0
2021-03-08 00:00:00-05:00,134.2691231432973,136.90220120814007,132.75444449267596,134.65660095214844,17133300,0.0,0.0,,,,,0
2021-03-09 00:00:00-05:00,133.4149427290409,135.83666611191126,131.93549634868072,133.70555114746094,16238800,0.0,0.0,,,,,0
2021-03-10 00:00:00-05:00,133.77598418023575,137.51864706654976,133.42372549326453,136.61160278320312,14342200,0.0,0.0,,,,,0
2021-03-11 00:00:00-05:00,135.7133931528791,137.50986586570562,135.0529230700711,135.89833068847656,11771500,0.0,0.0,,,,,0
2021-03-12 00:00:00-05:00,138.13507740602657,138.81316359348986,136.55876183689412,137.50982666015625,12849500,0.0,0.0,,,,,0
2021-03-15 00:00:00-04:00,137.68599137929823,138.1879416162241,135.58129408148173,136.82296752929688,12101100,0.0,0.0,,,132.7804428100586,,0
2021-03-16 00:00:00-04:00,135.69573201541843,136.14486012318824,134.02254706678022,135.18496704101562,12805600,0.0,0.0,,,133.17055854797363,,0
2021-03-17 00:00:00-04:00,136.79655744647064,138.1527301795073,134.77992808182782,136.57640075683594,13952400,0.0,0.0,,,133.61043167114258,,0
2021-03-18 00:00:00-04:00,138.78677470247715,142.38853471705445,138.35526277767386,138.83079528808594,21898500,0.0,0.0,,,134.14145050048828,,0
2021-03-19 00:00:00-04:00,136.9462499343872,137.32492639353174,133.14194967070932,136.62042236328125,54418800,0.0,0.0,,,134.4549530029297,,0
2021-03-22 00:00:00-04:00,134.55976011546855,135.59009172413673,132.63118552592422,132.94821166992188,19944800,0.0,0.0,,,134.52364273071288,,0
2021-03-23 00:00:00-04:00,132.3846254960018,133.9609415203398,131.1781711069169,131.6184844970703,17076300,0.0,0.0,,,134.47300491333007,,0
2021-03-24 00:00:00-04:00,132.0939847019035,134.89437072768226,131.9706975203402,132.6399688720703,13079800,0.0,0.0,,,134.3567626953125,,0
2021-03-25 00:00:00-04:00,132.09399893993677,134.70946119393125,131.50398069048063,134.339599609375,15608300,0.0,0.0,,,134.41708526611328,,0
2021-03-26 00:00:00-04:00,135.88071153000138,136.89342692740183,134.3396147025584,136.57640075683594,16754400,0.0,0.0,,,134.76581573486328,,0
2021-03-29 00:00:00-04:00,133.96093747161137,135.37874708254657,133.00985896514882,134.45408630371094,17570300,0.0,0.0,,,134.86180419921874,,0
